MOVIE_ID,YEAR,MONTH,DAY,SEASON,WEEKDAY,TIME
129,2012,7,1,summer,Sunday,2012-07-01
130,2008,8,20,summer,Wednesday,2008-08-20
131,2005,12,10,winter,Saturday,2005-12-10
132,2006,6,27,summer,Tuesday,2006-06-27
133,2007,6,7,summer,Thursday,2007-06-07
134,1997,5,21,spring,Wednesday,1997-05-21
135,2010,11,9,autumn,Tuesday,2010-11-09
136,2004,12,2,winter,Thursday,2004-12-02
137,2004,3,23,spring,Tuesday,2004-03-23
138,2006,6,3,summer,Saturday,2006-06-03
139,2009,1,27,winter,Tuesday,2009-01-27
140,2012,5,8,spring,Tuesday,2012-05-08
141,2001,7,16,summer,Monday,2001-07-16
142,2012,8,31,summer,Friday,2012-08-31
143,2012,10,6,autumn,Saturday,2012-10-06
144,2007,10,23,autumn,Tuesday,2007-10-23
145,1999,12,14,winter,Tuesday,1999-12-14
146,1999,10,16,autumn,Saturday,1999-10-16
147,1999,10,16,autumn,Saturday,1999-10-16
148,2010,1,5,winter,Tuesday,2010-01-05
149,2010,1,5,winter,Tuesday,2010-01-05
150,2007,2,9,winter,Friday,2007-02-09
151,2004,2,19,winter,Thursday,2004-02-19
152,2007,2,9,winter,Friday,2007-02-09
153,2012,4,20,spring,Friday,2012-04-20
154,2008,10,18,autumn,Saturday,2008-10-18
155,2012,12,18,winter,Tuesday,2012-12-18
156,2005,9,13,autumn,Tuesday,2005-09-13
157,2005,9,13,autumn,Tuesday,2005-09-13
158,2000,4,23,spring,Sunday,2000-04-23
159,2008,4,22,spring,Tuesday,2008-04-22
160,2003,8,12,summer,Tuesday,2003-08-12
161,2008,2,14,winter,Thursday,2008-02-14
162,2004,8,17,summer,Tuesday,2004-08-17
163,2006,9,20,autumn,Wednesday,2006-09-20
164,2008,1,29,winter,Tuesday,2008-01-29
165,2007,2,9,winter,Friday,2007-02-09
166,2000,10,17,autumn,Tuesday,2000-10-17
167,2009,10,20,autumn,Tuesday,2009-10-20
168,2012,8,10,summer,Friday,2012-08-10
169,2001,7,31,summer,Tuesday,2001-07-31
170,2001,10,30,autumn,Tuesday,2001-10-30
171,2007,2,9,winter,Friday,2007-02-09
172,2000,6,14,summer,Wednesday,2000-06-14
173,2006,10,1,autumn,Sunday,2006-10-01
174,2008,6,2,summer,Monday,2008-06-02
175,2001,11,29,autumn,Thursday,2001-11-29
176,2010,5,17,spring,Monday,2010-05-17
177,2006,4,24,spring,Monday,2006-04-24
178,2003,2,11,winter,Tuesday,2003-02-11
179,2006,9,29,autumn,Friday,2006-09-29
180,1998,1,6,winter,Tuesday,1998-01-06
181,2007,1,27,winter,Saturday,2007-01-27
182,2009,6,27,summer,Saturday,2009-06-27
183,2000,7,30,summer,Sunday,2000-07-30
184,2009,11,26,autumn,Thursday,2009-11-26
185,2002,2,8,winter,Friday,2002-02-08
186,2000,2,9,winter,Wednesday,2000-02-09
187,1999,11,30,autumn,Tuesday,1999-11-30
188,1996,1,1,winter,Monday,1996-01-01
189,2006,10,30,autumn,Monday,2006-10-30
190,1999,11,30,autumn,Tuesday,1999-11-30
191,1999,10,12,autumn,Tuesday,1999-10-12
192,1999,11,30,autumn,Tuesday,1999-11-30
193,2001,5,29,spring,Tuesday,2001-05-29
194,2003,1,23,winter,Thursday,2003-01-23
195,2009,6,25,summer,Thursday,2009-06-25
196,2002,11,8,autumn,Friday,2002-11-08
197,2001,10,18,autumn,Thursday,2001-10-18
198,2006,6,27,summer,Tuesday,2006-06-27
199,2002,11,14,autumn,Thursday,2002-11-14
200,2008,3,4,spring,Tuesday,2008-03-04
201,2001,1,31,winter,Wednesday,2001-01-31
202,2001,1,31,winter,Wednesday,2001-01-31
203,2001,1,31,winter,Wednesday,2001-01-31
204,2001,10,30,autumn,Tuesday,2001-10-30
205,2008,10,28,autumn,Tuesday,2008-10-28
206,2008,6,2,summer,Monday,2008-06-02
207,2010,11,26,autumn,Friday,2010-11-26
208,2007,7,24,summer,Tuesday,2007-07-24
209,2004,4,20,spring,Tuesday,2004-04-20
210,2001,8,1,summer,Wednesday,2001-08-01
211,2006,8,11,summer,Friday,2006-08-11
212,2005,7,24,summer,Sunday,2005-07-24
213,2005,7,24,summer,Sunday,2005-07-24
214,2009,2,25,winter,Wednesday,2009-02-25
215,2012,5,14,spring,Monday,2012-05-14
216,2011,10,25,autumn,Tuesday,2011-10-25
217,2010,10,22,autumn,Friday,2010-10-22
218,2008,7,2,summer,Wednesday,2008-07-02
219,2005,9,2,autumn,Friday,2005-09-02
220,2005,10,11,autumn,Tuesday,2005-10-11
221,2011,6,23,summer,Thursday,2011-06-23
222,2009,7,17,summer,Friday,2009-07-17
223,2006,9,29,autumn,Friday,2006-09-29
224,1999,6,12,summer,Saturday,1999-06-12
225,1999,6,12,summer,Saturday,1999-06-12
226,1999,6,12,summer,Saturday,1999-06-12
227,2002,9,9,autumn,Monday,2002-09-09
228,2010,10,19,autumn,Tuesday,2010-10-19
229,2006,3,5,spring,Sunday,2006-03-05
230,2005,11,6,autumn,Sunday,2005-11-06
231,2010,9,13,autumn,Monday,2010-09-13
232,1998,3,31,spring,Tuesday,1998-03-31
233,2003,7,1,summer,Tuesday,2003-07-01
234,1998,12,21,winter,Monday,1998-12-21
235,2006,9,29,autumn,Friday,2006-09-29
236,2009,3,31,spring,Tuesday,2009-03-31
237,2009,6,30,summer,Tuesday,2009-06-30
238,2009,3,31,spring,Tuesday,2009-03-31
239,2007,1,3,winter,Wednesday,2007-01-03
240,2006,6,21,summer,Wednesday,2006-06-21
241,2006,9,29,autumn,Friday,2006-09-29
242,2007,1,12,winter,Friday,2007-01-12
243,2010,11,11,autumn,Thursday,2010-11-11
244,1999,12,25,winter,Saturday,1999-12-25
245,2007,10,9,autumn,Tuesday,2007-10-09
246,2010,8,12,summer,Thursday,2010-08-12
247,2011,10,4,autumn,Tuesday,2011-10-04
248,2011,7,5,summer,Tuesday,2011-07-05
249,2011,3,27,spring,Sunday,2011-03-27
250,2002,5,28,spring,Tuesday,2002-05-28
251,2006,4,29,spring,Saturday,2006-04-29
252,2012,3,16,spring,Friday,2012-03-16
253,2005,11,1,autumn,Tuesday,2005-11-01
254,2004,3,30,spring,Tuesday,2004-03-30
255,1999,10,5,autumn,Tuesday,1999-10-05
256,2004,8,3,summer,Tuesday,2004-08-03
257,2004,2,18,winter,Wednesday,2004-02-18
258,2004,2,18,winter,Wednesday,2004-02-18
259,2004,10,1,autumn,Friday,2004-10-01
260,2005,3,29,spring,Tuesday,2005-03-29
261,2004,2,18,winter,Wednesday,2004-02-18
262,2008,10,28,autumn,Tuesday,2008-10-28
263,2009,9,5,autumn,Saturday,2009-09-05
264,2010,7,7,summer,Wednesday,2010-07-07
265,2004,7,11,summer,Sunday,2004-07-11
266,2009,4,3,spring,Friday,2009-04-03
267,2003,12,1,winter,Monday,2003-12-01
268,2007,2,13,winter,Tuesday,2007-02-13
269,2012,3,4,spring,Sunday,2012-03-04
270,2011,12,11,winter,Sunday,2011-12-11
271,2012,5,19,spring,Saturday,2012-05-19
272,2012,3,31,spring,Saturday,2012-03-31
273,2012,9,23,autumn,Sunday,2012-09-23
274,2011,11,7,autumn,Monday,2011-11-07
275,2011,11,7,autumn,Monday,2011-11-07
276,2012,7,3,summer,Tuesday,2012-07-03
277,2012,8,13,summer,Monday,2012-08-13
278,2011,12,6,winter,Tuesday,2011-12-06
279,2012,4,8,spring,Sunday,2012-04-08
280,2008,6,26,summer,Thursday,2008-06-26
281,2008,3,18,spring,Tuesday,2008-03-18
282,2003,9,9,autumn,Tuesday,2003-09-09
283,2004,11,30,autumn,Tuesday,2004-11-30
284,2006,9,1,autumn,Friday,2006-09-01
285,2008,9,9,autumn,Tuesday,2008-09-09
286,2007,6,22,summer,Friday,2007-06-22
287,2007,10,2,autumn,Tuesday,2007-10-02
288,2007,10,2,autumn,Tuesday,2007-10-02
289,2019,2,1,winter,Friday,2019-02-01
290,2011,4,18,spring,Monday,2011-04-18
291,2011,4,18,spring,Monday,2011-04-18
292,2000,1,7,winter,Friday,2000-01-07
293,2006,10,26,autumn,Thursday,2006-10-26
294,2005,11,8,autumn,Tuesday,2005-11-08
295,2006,9,29,autumn,Friday,2006-09-29
296,2001,3,11,spring,Sunday,2001-03-11
297,2001,8,14,summer,Tuesday,2001-08-14
298,2007,1,22,winter,Monday,2007-01-22
